Denalmo north=Agixo-A south=Amolusnisnu east=Elolesme west=Migina
Dudiga north=Anexagina south=Do-Ma east=Minelo west=Alismo
Amexigimiga north=Elmusno south=Denosno east=Mo-Milu west=Memaxe
Axudegigimo north=Dena south=Axexolnu east=Danila west=Dulnina
Danime north=Esmulma south=Delalu east=Mudo-E west=Anexudo
Digolmu north=Amudina south=Esmemu east=Axeno
Dolule north=Elamaxe south=Migalme east=Mosmesmo west=Esmame
Maneme north=Dexesma south=Delasne east=Ememusmiga west=Enememo
Du-Mina north=Dixa south=Mudolnu east=Enu-De west=Exegina
Delmemu north=Asmelmu south=Alegilu east=Mu-Mo-Do west=Meneme
Enodesmo north=Mo-Diga south=Elolnu east=Egenago west=Danudo
Emasna north=Egodosnige south=Amu-Mo east=Eganolmixisna west=Mu-Axe
Dagu-A north=Degosme south=Exudoline east=Mixodiniga west=Elmega
Agemaginiga north=Mino-A south=Mino-E east=Esmene west=Dagudigo
Dixo-Da north=Dulego south=Dolmu east=Elininismu west=Mimine
Elusmo north=Examulinime south=Maxoda east=Emasnilo west=Dolnodu
Mu-E north=Maxu south=Digesmu east=Mulisme west=Daxudo
Molemiline north=Dilodu south=Dene east=Egolisniga west=Megole
Mimelo north=Musmaxiga south=Disnu east=Amexo-Mo west=Enagu-A
Aninegu north=Magego south=Axemega west=Agagosmu
Enudisnu north=Elilodu south=Minixa east=Misnanime west=Mosmega
Egemo north=Dulula south=Musninixu east=Delasma west=Dulige
Digasnu north=Anodismine south=Egoligu east=Mudinu west=Mama
Elno-E north=Amexude south=Enismo east=Milixa west=Dasnixo
Asnaxo north=Memixo south=Dasmagixe east=Anenudu west=Almalu
Egelegixe north=Mexixixu south=Mamimisna east=Enudanige west=Alisnu
Axu-Ala north=Elu-Exe south=Dila east=Almula west=Enudulu
Agasne north=Ememula south=Analoda east=Ageginu west=Dodismo
Emisma north=Asmodixu south=Milosnilisma east=Dasmimu west=Agolane
Masmudo north=Dinulo south=Mimege east=Alilusmilino west=Eninexe
Dudola north=Dudolo south=Mismela east=Dusmo-E west=Menu-E
Molano north=Mimulixe south=Memulu east=Dodu-A west=Dusmixe
Dismemiga north=Migamu south=Exasme east=Agusma west=Demexo
Modama north=Anolme south=Almige east=Axagusme west=Emudesno
Amusne north=Melmixu south=Dasmage east=Egilixu west=Digula
Maginisnima north=Masnaga south=Migasmo east=Esnusnisme west=Dalnusmu
Musnismixa north=Emosmila south=Dinaxiligo east=Dixusno west=Anegigu
Egodude north=Migelu south=Egamila east=Dalismu west=Egemu
Desmolu north=Memusno south=Axiximisnu east=Esnegime west=Eludodo
Mamime north=Amulega south=Mu-Dosmu east=Agamemo west=Dinalisno
Elulno north=Demo-A south=Amimu east=Digodu west=Dusmigimilna
Elaxexigu north=Dexago south=Asmosme east=Elimelo west=Dimosne
Alegasninu north=Elulnu south=Amixusmilnime east=Digela west=Enegosnilmo
Elisnu north=Dolnolisnu south=Memasme east=Du-Ele west=Egosne
Mixino north=Milemu south=Exagule east=Axemixo west=Egilo-Mu
Axolasno north=Analme south=Esnolmo east=Danesmu west=Dismexisno
Dasnasna north=Agisma south=Alixesnu east=Mimilna west=Almine
Exodosmu north=Enanusnile south=Desme east=Dima west=Emaxe
Anodo-De north=Mudo-Mo south=Mosnosma east=Dalnalno west=Musmema
Axexusmo north=Du-Me south=Enimaga east=Aninulu west=Enelode
Mimixe north=Digama south=Dusmismigixe east=Dusmaxu west=Asnigo
Dodudina north=Melilne south=Digolo east=Mixosnu west=Dixu-Da
Elodu north=Agasme south=Masmodime east=Desnaxo west=Asnana
Masmila north=Masmilo south=Denalno east=Dimelixilnu west=Do-Dismiga
Exudu-A north=Anemala south=Aximusne east=Anolimu west=Dusname
Animusninu north=Dudusmixa south=Elasma east=Agodisno west=Danisma
Demasmisnu north=Damina south=Mosmimino east=Egodesne west=Amosne
Degosno north=Esnesna south=Dimusmo east=Agulino west=Agulime
Mamenilu north=Mosnesme south=Asnexe east=Elela west=Dameno
Minosne north=Asmemige south=Degulo east=Mamagu west=Dagolo
Axasna north=Migasnimo south=Dilnexu east=Exulu-Ma west=Manolma
Anusno north=Anodininu south=Mololu east=Agulexu west=Mo-Digo
Alo-Emu north=Esninixilmo south=Axo-Exisne east=Axilesme west=Mudiga
Anolemige north=Misnalnu south=Dudolmo east=Menude west=Exemismo
Mexu north=Mexu-Da south=Demisna east=Esnemo west=Egeludo
Mexexa north=Dododima south=Egolnu east=Magoda west=Enexolo
Mo-Dano north=Menage south=Agoluda east=Exusno west=Dodolna
Mulmodo north=Migasnigixu south=Do-Dismiga east=Masmilo west=Asmolmilna
Elasne north=Dilinigo south=Exegimisnixa east=Mosmu-A
Axesnixo north=Ego-Misma south=Eno-Mu east=Damosna west=Mudola
Ago-Esme north=Mixudimismo south=Esmolmo east=Milulinu west=Exulu
Dagola north=Egodixige south=Desnoda east=Alusma west=Mimelma
Dododa north=Misme south=Misma east=Malaninixo west=Exelalma
Milixa north=Du-Dolimo south=Esmulme east=Danixina west=Elno-E
Axudu-A north=Migixe south=Elixolu east=Digenu west=Amu-Asmu
Migosme north=Dolo-E south=Dolaxa east=Axexismixu west=Dusnasme
Anaxu north=Alnisne south=Dudixu east=Dilina west=Amudude
Egilnino north=Migo-E south=Mismexu east=Asmo west=Mulu
Daxegisne north=Aginu south=Asmale east=Dinixisnu west=Esnu-De
Mulemilu south=Daxame east=Mimasmu west=Egemolima
Mu-Mamo north=Alagene south=Alago-E east=Ele west=Dudamo
Amege north=Migodo south=Aligudo east=Do-Digu west=Maxaga
Esnige north=Egilexe south=Mexema east=Exenesme west=Agalulimu
Damulile north=Mexo-Do south=Anudinilne east=Molmino west=Amaxodo
Danesmina north=Egixusne south=Esmexa east=Dismine west=Masnago
Dilnimo north=Axexolma south=Amilala east=Mudasnima west=Elilulmimo
Diludo north=Anigodila south=Damime east=Egamane west=Analegisme
Esmolmiga north=Musnodo south=Megamo east=Agulmisma west=Alegudilo
Mosnema north=Agudu-Do south=Mo-Molimu east=Misnolna west=Masmesmimo
Dusnesmu north=Dusnusmigu south=Mosnamo east=Elexano west=Minalu
Asmusmo north=Milnelu south=Ame east=Mexesnu west=Exu-Elu
Amimilo north=Modo south=Mo-Exixe east=Masnuda west=Egulolixa
Dosnima north=Esnixisne south=Elnixe east=Anexexe west=Daniga
Dudule north=Egexude south=Dimuda east=Demene west=Dismega
Moludu north=Enulma south=Enulme east=Dolesno west=Dulnu-Mo
Dasmosnu north=Axoludo south=Meginiga east=Enudosma west=Egimo
Magena north=Dagamila south=Eline east=Emo-Exina west=Daxesmigu
Disname north=Emimixo south=Anelnu east=Mosnoda west=Dusmisnu
Exudamime north=Mo-Du south=Dulnexo east=Dosmexixigu west=Daxege
Esnalu north=Demaga south=Mosnegigimu east=Dusmelu west=Dismago
Dexala north=Dosmoda south=Dexale east=Miguda west=Axesnu
Dosma north=Modo-Du south=Denaga east=Elilna west=Esnodixo
Elisno north=Du-Emu south=Du-Emo east=Dinimo west=Melnulo
Emusnimixa north=Mixexine south=Emixeno east=Do-Ama west=Aniga
Du-Amo north=Esmole south=Esnosnige east=Deganiga west=Magaxe
Amodilu north=Esno-A south=Mimesno east=Dasmu-Mima west=Elagime
Dulu-A north=Mesmina south=Minolo east=Maxixa west=Anudosma
Axelne north=Denulme south=Axelna east=Migulu west=Misnismimilo
Do-Egu north=Dalmene south=Memo-Me east=Dinosmo west=Exulmo
Amalme north=Enigemimo south=Mesmasnu east=Dodene west=Do-Asmismige
Dulu north=Mo-Dolno south=Emixile east=Exexo-Me west=Megego
Dagane north=Deneligu south=Du-Ala east=Megilo west=Enegigo
Exusne north=Esmisna south=Daxexo east=Amudude west=Musmixisnu
Mulu-Minino north=Enamule south=Desnexu east=Do-Dodo west=Milisme
Anesnina north=Mosmeme south=Amixudo east=Denosme west=Asnanu
Maxegu north=Dosnasmo south=Mo-Ma east=Enu-Esma west=Dege
Asmaxu north=Mulusne south=Musnu-Dime east=Enaxelna west=Modolmo
Exenusmo north=Elamine south=Maximu east=Axinilo west=Exudu
A north=Emodulna south=Mexime east=Axaxame west=Amesne
Agimo-E north=Maxosme south=Megigima east=Mo-Mu-E west=Melo-De
Enudelmo north=Exodexo south=Agudilne east=Dememe west=Dixolinu
Egimudo north=Enosmo south=Agasmu east=Dalmu west=Mimusnisma
Denisme north=Dosmolo south=Du-Mo-Me east=Dulmamo west=Agemamu
Exexana north=Exexano south=Do-Diga east=Exusmu west=Egemamo
Elelaxine north=Axusmilmu south=Mosmesno east=Magiga west=Alolosmu
Alismo north=Alisma south=Enilegisna east=Dudiga west=Exesne
Eminixila north=Emanola south=Eginode east=Mu-Egu
Axexu-A north=Masnexo south=Meguda east=Malamilima west=Dexino
Agixino north=Axudine south=Degusne east=Menesmisne west=Esnino
Ago-Mu north=Emexisno south=Enigele east=Digode west=Esnasmo
Elixolo north=Egolisniga south=Exala east=Dalnosnigo west=Dene
Dexane north=Desmodixa south=Dexana east=Denu west=Enamino
Axigismu north=Demo south=Anu-E east=Exelasnu west=Agulino
Mosna north=Dusmudino south=Amino-Mo east=Mola west=Dusnaxe
Musniximu north=Manudu south=Dosme west=Egigolisne
Amudamo north=Emamamu east=Dusmo west=Dudesno
Memodilmu north=Digisnu south=Mixigu east=Enosme west=Mu-Dalu
Musnila north=Aginasnu south=Emigela east=Agilme west=Axexulo
Dixage north=Mudaxixo south=Asmimismu east=Alimu west=Duligimigo
Emenanima north=Demesno south=Anasmu east=Emegu west=Esmine
Exilmo north=Emodulmo south=Axame west=Agenosne
Delnexu north=Malina south=Mexesminu east=Dusnasno west=Anulmu
Denanimo north=Agenu south=Alaxasne east=Delenu west=Meximo
Esmolnu north=Mulemu south=Manolnu east=Dudodo west=Ananime
Mudaline south=Agixixu east=Dililu west=Mosnanixa
Emesmino north=Enu-Emo south=Exulule east=Dudelo west=Mesmile
Asmulmo north=Alemu south=Migusmu east=Do-Aga west=Esnu-Mo
Mosnusmigu north=Delesno south=Dilmu-E east=Anexudilo west=Maxene
Daxodu north=Menoda south=Agiligu east=Elodige west=Esmoligu
Exemiga north=Magesmo south=Dodixixo east=Maxo-Mu west=Denago
Enino north=Musmasne south=Anolasnu east=Mismina west=Masmena
Dusmilu north=Asnamu south=Esnalno east=Dudenime west=Esmasme
Mismexisno north=Axigolmu south=Malemixo east=Eninigo west=Amudo
Enegasme north=Asnege south=Megaxo east=Mixinige west=Desmiga
Dolnolma north=Magulme south=Amusnilnige east=Mexinismu west=Dusmelilo
Dilmola north=Alalano south=Dusmixu east=Mosnemo west=Egegu-A
Enasmu north=Dima south=Dime east=Exu-E west=Desme
Esmele north=Mu-Du south=Mu-Do east=Enalnu west=Degulna
Ego-Esna north=Egagale south=Musmosne east=Axo-Me west=Dosmusnilma
Egagala north=Enusnu south=Amalenimu east=Exaxesmilu west=Agenema
Mo-Elna north=Almanu south=Elmelu east=Aginu-Do west=Mamino
Mismismu north=Elulusnu south=Milegimu east=Agaxeme west=Aginolu
Enegosnilmo north=Elegima south=Anulo east=Alegasninu west=Asmaxo
Elimolo north=Dusmamismo south=Axosno east=Mulmimilo west=Eludulo
Mu-Ma north=Alusne south=Enimodigiximu east=Egimalu west=Elexu
Esmelma north=Dasmine south=Mosme east=Daxesnilo west=Esmolo
Amulelige north=Anudodo south=Exemina east=Emusmo west=Anixixa
Do-Mu-E north=Asmodo south=Magexu east=Dilosnu west=Asnisno
Elimixu north=Milulo south=Asmodilna east=Eludino west=Agixudige
Mimosma north=Dusnilu south=Amagamu east=Masnusma west=Dexulmo
Mosnigo north=Mu-Ame south=Asnimixe east=Dodu-Mu west=Dismexo
Mesnenilnu north=Eninole south=Esnudo east=Mu-Mo-E west=Egasne
Enolasma north=Demigu south=Esnasnimu east=Elemaxe west=Molo-A
Asninu north=Denola south=Mo-Esnu east=Anodigismo west=Amesnu
Mulnosna north=Disnexa south=Anilanu east=Milnane west=Alnode
Delegu north=Axodula south=Emexage east=Anudisniga west=Du-Egixu
Elulismu north=Asnalime south=Elminino east=Molasno west=Degasno
Dilolima north=Dusnulnu south=Amesme east=Dasmele west=Do-Dusmixu
Modo-Dimilu north=Anolna south=Exinisnigigigu east=Esmo-Ma west=Exenesme
Axilo north=Molaxo south=Dilnisme east=Dalnodu west=Mulmiga
Demaxe north=Dagixo south=Dasno-Minu east=Esmige west=Aga
Axexolnu north=Axudegigimo south=Examinu east=Alnelmu west=Egodasme
Dinela north=Axaxixo south=Damano east=Examilu west=Mixe
Malamino north=Aminosme south=Melmismila east=Esmanu
Do-Mulo north=Aninexo south=Dimolilu east=Dudesme west=Elilmu
Mimile north=Agode south=Dulmulixu east=Molamixa west=Enegudima
Asmexe north=Axexismixu south=Mu-Egixu east=Mesmile west=Dolaxa
Denixu north=Dinexinu south=Daga east=Emisne
Exemusma north=Emasnu south=Egodoligilu east=Mududo west=Egesmime
Eludolismu north=Dasmaximu south=Delnolno east=Enaxima west=Aligolnu
Alelu-E north=Axixixa south=Milo-Mo east=Daxode west=Desmoda
Agemusmu north=Ele south=Agesma east=Elulama west=Alago-E
Degexo north=Mino south=Mina east=Desnula west=Elmismo
Danenu north=Dulima south=Dodolna east=Menage west=Do-De
Mismuda north=Disnisma south=Memu-Du east=Dodola west=Desmexa
Digagu north=Megalnixixe south=Agelagilo east=Elinudo west=Masnaxixa
Dilusne north=Maxisme south=Mosnusna east=Migixa west=Agexa
Dodosmilne north=Ego-Exu south=Do-Anixe east=Mesnolmu west=Amodalo
Memu-E north=Emegaxa south=Demesna west=Megexe
Mulu north=Mixodu south=Daxasmo east=Egilnino west=Digasmine
Eme north=Enasnimu south=Anolimu east=Du-Maxe west=Anemala
Enode north=Mismine south=Manila east=Mimelisna west=Melmusnu
Do-Agige north=Mixudimo south=Enigu east=Dodalo west=Dusmile
Exudigu north=Desmusma south=Manulu east=Masnu-De west=Exosmiline
Ago-Da north=Dige south=Diga east=Elalode west=Maxixa
Dago-Mu north=Emaxila east=Dulamo west=Alnana
Dosmode north=Miminu south=Dimile east=Exodale west=Enanene
Dasnaxilo north=Axosme south=Axosma east=Mesnosnixo west=Alo-Dilmiga
Magude north=Minile south=Desnesme east=Maxe west=Do-Emu
Esnosma north=Mosmege south=Mo-Manu east=Minixe west=Agu-Dige
Enale north=Mexamo south=Axinosnimu east=Exuleme west=Alnama
Egamo-A south=Milmixa east=Disnusmo west=Mismisne
Anasmo north=Amasnixe south=Amusno east=Mo-Mosma west=Egismo
Melmu-Do north=Dilosnu south=Amilesno east=Aganu west=Magexu
Alulimisme north=Exodelmige south=Emenixo east=Esnimino west=Dimegu
Aludeno north=Amiludu south=Enosnige east=Magulo west=Axudolo
Enegilne north=Anodosno south=Agimagu east=Enosnu west=Alulnima
Mixagigila north=Moduda south=Danulo east=Mudixe west=Mesmixixu
Aleloda north=Do-Esnu south=Emilnu east=Dusno-E west=Milula
Dolu-E north=Demo-De south=Malaninixo east=Anenelilu west=Misme
Mexixo north=Asmelo south=Asmele east=Enolina west=Agimosmo
Amame north=Digeno south=Duludo east=Axulnu west=Deniniga
Dosneno north=Mo-Egu south=Mudemu east=Aludina west=Esnuda
Desmu north=Axesna south=Anulnu east=Anamexe west=Exusmu
Damamo north=Mesmexina south=Daninu east=Elnana west=Minudo
Exulu-Du north=Agilimimu south=Alexasnixe east=Exilasnixu west=Anemusmo
Eximixa north=Eligo-E south=Eludoda east=Dimo-Me west=Anusnigo
Malnu-A north=Axigemo south=Mimena east=Malamu west=Damosna
Musmoda north=Damismu south=Elnu east=Migode west=Exixalo
Dixolu north=Axismilno south=Alu-Me east=Axime west=Axeno-Da
Exaxa north=Disnodinigo south=Dexixu east=Dinisna west=Digigo
Dimosnu north=Ageno-E south=Migo-Disne east=Dagalu west=Axulenino
Agilolo north=Megosmimu south=Ego-Da east=Enaxamixa west=Modisma
Dulmamo north=Agegu-Mu south=Masmusno east=Agismu west=Denisme
Emudesnixe north=Mexanu south=Elilenu east=Dosmenu west=Dusmama
Dudusnimo north=Axusmixe south=Do-Egimo east=Amosnixo west=Anodigo
Anosna north=Esmimo south=Melimu east=Emalisna west=Esminilixu
Emolosnige north=Mimismu south=Axaxo-E east=Disnu-Da west=Enalminu
Dinu north=Disnudu south=Egagu east=Mexaga west=Agu-Do
Mudosne north=Agu-Esna south=Memulinu east=Exalolu west=Danasna
Magule north=Dusmanu south=Esnimino east=Dexodo west=Exodelmige
Do-Mo north=Manosmisno south=Dodegine east=Dasnalu west=Asmixa
Denosno north=Amexigimiga south=Dusname east=Anemala west=Misnaxu
Axo-Elu north=Dusnexe south=Amoludo east=Anu-Asme west=Disminixisnu
Delalu north=Danime south=Mana east=Amilaxo west=Esnusma
Esmemu north=Digolmu south=Almexo east=Dilmiga
Migalme north=Dolule south=Dusnela east=Minisna west=Agalnu
Delasne north=Maneme south=Modosna east=Du-Egu west=Dusnixisna
Mudolnu north=Du-Mina south=Emudixe east=Mudege west=Misnolna
Do-Mino north=Dusnixo south=Deximigu east=Agalmo west=Elmilime
Mamasno north=Elagexo south=Malnosne east=Dudine west=Mu-Mime
Mo-Diga north=Egosnimu south=Enodesmo east=Almena west=Dulmo
Dodalo north=Dixinu south=Dosnule east=Alma west=Do-Agige
Degosme north=Emime south=Dagu-A east=Digimixu west=Mu-Esmu
Mo-Malne north=Mo-Dasmo south=Agilme east=Megamige west=Aginasnu
Dilasnixe north=Elesnu south=Enudolo east=Menamigu west=Agisme
Examulinime north=Anismimismu south=Elusmo east=Eninena west=Asnininina
Maxu north=Exodusme south=Mu-E east=Mamu-E west=Alnu
Maxismo north=Desmexo south=Molnegixilu east=Dasnoda west=Exagame
Musmaxiga north=Do-Do-E south=Mimelo east=Maxusme west=Me
Axemega north=Aninegu south=Mexesna west=Meno-Da
Mexesminu north=Delnexu south=Delnexo east=Milo-Mu west=Dosnana
Dulula north=Elodasninu south=Egemo east=Molime west=Melanile
Egoligu north=Digasnu south=Enu-Exe east=Dudanu west=Egenosnu
Dilmexixe north=Asmanisnu south=Du-Asnixu east=Disnine west=Dixinina
Dasmagixe north=Asnaxo south=Asmu-Migigo east=Do-Dinu west=Enelena
Mamimisna north=Egelegixe south=Degilu east=Du-Mismimo west=Dulmudu
Dixiga north=Denodimu south=Du-Mu east=Delano west=Mismilo
Analoda north=Agasne south=Migino east=Elilma west=Mesnixilo
Milosnilisma north=Emisma south=Emisme east=Mosnu west=Danoda
Dinulo north=Emodenu south=Masmudo east=Emanalme west=Masmudixe
Dulmela north=Exane south=Eninigo east=Dismisno west=Axigolmu
Memulu north=Molano south=Mu-Mu east=Elamimimiligiga west=Amudalo
Du-Ena north=Mimudo south=Mododixa east=Agusmu west=Asmano
Anolme north=Dismego south=Modama east=Dudulu west=Aganusne
Melmixu north=Anasme south=Amusne east=Enolodismige west=Anixine
Danamu north=Menole south=Aligiga east=Mimo-A west=Musmo-Ma
Emosmila north=Mu-Anime south=Musnismixa east=Egasno west=Dolegu
Memusno north=Musmexisna south=Desmolu east=Axodexe west=Dulmege
Malamu north=Mu-Dosma south=Dulnulo east=Elenismu west=Malnu-A
Amimu north=Elulno south=Alemaxa east=Minexigo west=Dosnulu
Asmosme north=Elaxexigu south=Mulamo east=Milelminima west=Elalixima
Elulnu north=Magulmigo south=Alegasninu east=Egode west=Elegima
Memasme north=Elisnu south=Agudigisne east=Dinime west=Menu
Mixine north=Dusminisne south=Manege east=Axixusme west=Emudolu
Esnolmo north=Axolasno south=Alolage east=Mexasnu west=Asmilo
Alixesnu north=Dasnasna south=Mesnulima east=Mexigigixisno west=Molalno
Amosme north=Mexaga south=Emamamila east=Dimo west=Egagu
Mosnosma north=Anodo-De south=Almane east=Emodesmu west=Anodule
Amigusne north=Dulismige south=Dalege east=Dudala west=Mismosma
Elminu north=Mudigisnino south=Agulne east=Du-Ago west=Du-Musne
Digolo north=Dodudina south=Molime east=Enududu west=Elodasninu
Egudulmismo north=Modulne south=Egelesme east=Anexusmu west=Asnano
Masmilo north=Denalne south=Masmila east=Elu-Elilna west=Mulmodo
Axiludine north=Desmegu south=Delilnixa east=Daxoligu west=Enelagixa
Dudusmixa north=Mixudila south=Animusninu east=Alenu west=Alenude
Damina north=Dalene south=Demasmisnu east=Masmo-E west=Do-Exe
Esnesna north=Dimusmu south=Degosno east=Do-Dagu west=Mulesnismu
Megusna north=Amodo-Du south=Megusne east=Mimagu west=Du-Agisna
Mudege north=Enu-De south=Anu-De east=Mimu-Mixe west=Mudolnu
Migasnimo north=Do south=Axasna east=Musnixo west=Mismimu
Memismu north=Esmanu east=Mosmu west=Melmismila
Mololu north=Anusno south=Mosnisne east=Enolulminino west=Mu-Alu
Esninixilmo north=Dudesme south=Alo-Emu east=Do-Ena west=Dimolilu
Dudolmo north=Anolemige south=Elelimo east=Dalaxe west=Mamiga
Demisna north=Mexu south=Dimilu east=Egodo west=Daxaxa
Egolnu north=Mexexa south=Mulalo east=Mexusma west=Exiligu
Minamo north=Musmixisnu south=Axodilu east=Daxexo west=Mulmulilo
Do-Dismiga north=Mulmodo south=Musmama east=Masmila west=Demosnu
Exegimisnixa north=Elasne south=Dino east=Exanegixo
Eno-Mu north=Axesnixo south=Mismexe east=Emo-Asne west=Mudole
Esmolmo north=Ago-Esme south=Dudega east=Emuline west=Dosmelilixa
Asnolna north=Dodeme south=Magame east=Musnige west=Anulo-Ma
Molnosne north=Dodode south=Alusna east=Emulaxu west=Menelimo
Du-Dolimo north=Disnina south=Milixa east=Musnema west=Amexude
Exalu north=Amisnime south=Migixa east=Mamole west=Maxisme
Dolo-E north=Meluline south=Migosme east=Asmexo west=Egixusnu
Alnisne north=Desmeno south=Anaxu east=Denismu west=Modile
Migo-E north=Enismigu south=Egilnino east=Dodelo west=Mixodu
Aginu north=Migemu south=Daxegisne east=Elisna west=Mamu-A
Mamulna north=Esmolixo south=Axodo-Do east=Asnaxa west=Du-Delnime
Alago-E north=Mu-Mamo south=Mixo-De east=Agemusmu west=Do-Muda
Migodo north=Dexinu south=Amege east=Amexola west=Agixa
Do-Mole north=Molmudisma south=Emenilna east=Denodilmu west=Megolnile
Anudinilne north=Damulile south=Emodosno east=Mosno west=Asnulu
Esmexa north=Danesmina south=Esnusnisme east=Agino-A west=Masnaga
Exule north=Dosmusna south=Minexu east=Mismene west=Mage
Damime north=Diludo south=Amelnisme east=Molnulinu west=Egoduda
Asmega north=Exu south=Exuleme east=Examusmixa west=Mexamo
Mo-Molimu north=Mosnema south=Eminesne east=Alulmu west=Dosmisma
Mosnamo north=Dusnesmu south=Emulminimixixe east=Dinusno west=Miloligixe
Milnelu north=Desnode south=Asmusmo east=Dudanismila west=Dudosno
Esnixisne north=Asmima south=Dosnima east=Damudu west=Dalnola
Egagino north=Amelo south=Du-Alo east=Mudana west=Mema
Egexude north=Mesnolu south=Dudule east=Dixano west=Anolmu
Enulma north=Egele south=Moludu east=Axosmu west=Demusmila
Axoludo north=Dulmismu south=Dasmosnu east=Asmusnina west=Dulanile
Dagamila north=Anenelilu south=Magena east=Emosmino west=Malaninixo
Emodesmu north=Dalnalno south=Dusnosme east=Exigesnixixixilu west=Mosnosma
Mo-Du north=Muligo south=Exudamime east=Magago west=Dudalixine
Mosnegigimu north=Esnalu south=Delosmiginu east=Dagulno west=Delaga
Mudaxa north=Elasmo south=Anamexe east=Amosno west=Axesna
Denaga north=Dosma south=Memusmu east=Molna west=Agulolmo
Du-Emo north=Elisno south=Memasmo east=Disnula west=Egosna
Emixeno north=Emusnimixa south=Digala east=Mismode west=Mo-Age
Esnosnige north=Du-Amo south=Agige east=Emolemimiga west=Esmige
Esnulme north=Mosmu-Me south=Musnude east=Alisne west=Alo-Da
Minolo north=Dulu-A south=Dusmalnixime east=Elo-Ago west=Melnudililu
Emusmine north=Molmulige south=Amelne east=Degino west=Emesmo
Memo-Me north=Do-Egu south=Daxulnimu east=Anexusme west=Exulme
Enigemimo north=Do-Megina south=Amalme east=Mimagimu west=Mamusne
Mo-Dolno north=Alinu-Da south=Dulu east=Mino-Du west=Minega
Deneligu north=Dolu south=Dagane east=Menasnigu west=Mexina
Esmisna north=Mixage south=Exusne east=Modile west=Agimigino
Enamule north=Elanesme south=Mulu-Minino east=Exemine west=Dula
Agolanu north=Menima south=Amilo-Da east=Egago-Dixa west=Modexa
Mo-Ma north=Maxegu south=Axudulu east=Elmudixe west=Mosnolo
Mulusne north=Amaxila south=Asmaxu east=Mu-Demu west=Minusme
Exenelo north=Analma south=Mulolo east=Danile west=Mosmiga
Emodulna north=Axana south=A east=Eligo-A west=Egolnilnigo
Megigima north=Agimo-E south=Asnu-A east=Asmemo west=Anodo
Agudilne north=Enudelmo south=Amexeno east=Alalodinu west=Esno
Agasmu north=Egimudo south=Mimixu east=Exanude west=Malisna
Delana north=Dilina south=Digeligu east=Dulmame west=Dudixu
Do-Diga north=Exexana south=Ego-Misnimu east=Amaxosno west=Do-Dosmu
Mosmesno north=Elelaxine south=Asmasne east=Dolesnu west=Dama
Alixexa north=Dolmu-E south=Amulu east=Molasne west=Daxu
Enilegisna north=Alismo south=Elisnilo east=Do-Ma west=Eximolna
Enesma north=Mismesmo east=Dasnigo west=Dulamo
Eginode north=Eminixila south=Amimosmixe east=Mo-Esne
Meguda north=Axexu-A south=Dasmoda east=Esmegu west=Dodulmo
Axudine north=Axisma south=Agixino east=Alolne west=Mixu-Do
Mismixa north=Dismasno south=Melnanu east=Exaxulma west=Axamaxu
Desmodixa north=Asmagu south=Dexane east=Amolma west=Enenulu
Demo north=Dudaxu south=Axigismu east=Dolmasmixu west=Do-Dagu
Dusmudino north=Menu-Do south=Mosna east=Agodu west=Migusna
Egamosmismino north=Do-Mo-Du south=Emulosma west=Demode
Digisnu north=Alnudo south=Memodilmu east=Mudusmo west=Alulamu
Emigela north=Musnila south=Alneximu east=Dolasme west=Memilmima
Mudaxixo north=Milesmu south=Dixage east=Minula west=Amina
Egagasna north=Emagude south=Esnexa east=Agulolmo west=Elaxenigo
Axame north=Exilmo south=Elulodo west=Egolexu
Egu-Egile north=Mamolne south=Demigile east=Esnosnu west=Modime
Alaxasne north=Denanimo south=Elu-Exe east=Emosme west=Dasmosno
Manolnu north=Esmolnu south=Anixosme east=Examude west=Elmasna
Agixixu north=Mudaline south=Do-Du east=Dodu-Da west=Agosmo
Exulule north=Emesmino south=Anodena east=Dasnilnimo west=Modigu
Dexusme north=Agu-Amixu south=Dexusma east=Desmusna west=Mosninimismo
Dilmu-E north=Mosnusmigu south=Dexige east=Emesno west=Amemaminine
Agiligu north=Daxodu south=Mosnamu east=Mamaxila west=Amolodo
Magesmo north=Elaxa south=Exemiga east=Exu-Eme west=Do-Axa
Dudininime north=Esnixe south=Enu-Emina east=Enodu west=Elo-Da
Asnamu north=Masnulme south=Dusmilu east=Mixudimu west=Degega
Axigolmu north=Dixaxo south=Mismexisno east=Dulmela west=Axilme
Emolemimiga north=Deganiga south=Amexo east=Anegudisno west=Esnosnige
Asnege north=Asnega south=Enegasme east=Emodudu west=Du-Mimime
Emulage north=Enalo south=Alegiga east=Mismule west=Mo-Musmo
Alalano north=Dudo-A south=Dilmola east=Du-Mu-Do west=Asmexa
Mu-Do north=Esmele south=Mu-Esninu east=Mo-Delmigu west=Axale
Musmosne north=Ego-Esna south=Mixemu east=Desmosnu west=Magime
Amalenimu north=Egagala south=Miganu east=Deneme west=Exigiga
Esmudinisma north=Elmelo south=Molage east=Emolino west=Dusmulma
Milegimu north=Mismismu south=Amilosno east=Demine west=Dememe
Anulo north=Enegosnilmo south=Esnisnu east=Amixusmilnime west=Asmaxa
Axosno north=Elimolo south=Axosna east=Mixaniminu west=Dolmime
Enimodigiximu north=Mu-Ma south=Mismusmo east=Mu-Esma west=Melno
Mosme north=Esmelma south=Exolelixixime east=Enolelo west=Masmolne
